title,authors,language_code
Herzog on Herzog,Paul Cronin,eng
Vesco,Arthur Herzog III,eng
Encore Provence: New Adventures in the South of France,Peter Mayle,eng
Confessions of a French Baker: Breadmaking Secrets  Tips  and Recipes,Peter Mayle/Gerard Auzet,en-US
A Year in Provence,Peter Mayle,eng
How to Breathe Underwater,Julie Orringer,eng
The Crimson Petal and the White,Michel Faber,eng
Maggie: A Girl of the Streets and Other Short Fiction,Stephen Crane/Jayne Anne Phillips,eng
Maggie: A Girl of the Streets and Other Tales of New York,Stephen Crane/Larzer Ziff/Theo Davis,eng
Kushiel's Scion (Imriel's Trilogy  #1),Jacqueline Carey,en-US
Theft: A Love Story,Peter Carey,eng
Kushiel's Justice (Imriel's Trilogy  #2),Jacqueline Carey,eng
Dirty Jokes and Beer: Stories of the Unrefined,Drew Carey,eng
Godslayer (The Sundering  #2),Jacqueline Carey,en-US
Kushiel's Avatar (Phèdre's Trilogy  #3),Jacqueline Carey,eng
Angels: Celestial Spirits in Legend & Art,Jacqueline Carey,en-US
World Atlas of Great Apes and their Conservation,Julian Caldecott/Lera Miles,en-GB
The Great Ape Project: Equality Beyond Humanity,Paola Cavalieri/Peter Singer,en-US
Walking With the Great Apes: Jane Goodall  Dian Fossey  Birute Galdikas,Sy Montgomery,eng
The Nature of Play: Great Apes and Humans,Anthony D. Pellegrini/Peter K. Smith,eng
Alvin Journeyman (Tales of Alvin Maker  #4),Orson Scott Card,en-US
Star Trek Voyager Companion,Paul Ruditis,eng
Dodge Caravan/Plymouth Voyager/Chrysler Town & Country 96-02 (Haynes Manuals),L. Alan LeDoux,eng
Evolution (Star Trek Voyager: String Theory  #3),Heather Jarman,eng
Masterpieces: The Best Science Fiction of the Twentieth Century,Orson Scott Card/Isaac Asimov/William Gibson/Michael Swanwick/Theodore Sturgeon/Larry Niven/Robert Silverberg/Harry Turtledove/James Blish/George R.R. Martin/James Patrick Kelly/Karen Joy Fowler/Arthur C. Clarke/Lloyd Biggle Jr./Terry Bisson/Poul Anderson/John Kessel/R.A. Lafferty/C.J. Cherryh/Lisa Goldstein/Edmond Hamilton/Robert A. Heinlein/Ursula K. Le Guin/Ray Bradbury/Frederik Pohl/Harlan Ellison/George Alec Effinger/Brian W. Aldiss,eng
Earthborn (Homecoming Saga #5),Orson Scott Card,eng
First Meetings: In the Enderverse,Orson Scott Card,en-GB
Wyrms,Orson Scott Card,eng
The Abyss,Orson Scott Card/James Francis Cameron,eng
Shadow Puppets (Shadow Series  #3),Orson Scott Card,eng
Pastwatch: The Redemption of Christopher Columbus,Orson Scott Card,en-US
This Is the Way the World Ends,James K. Morrow,eng
Galapagos: World's End,William Beebe,en-US
The Well At The World's End: Volume I,William Morris/Lin Carter,en-US
The Well at the World's End: Volume II,William Morris,eng
Lost Boys,Orson Scott Card,eng
The Worthing Saga (Worthing  #1-3),Orson Scott Card,eng
The Rocky Road to Romance (Elsie Hawkins #4),Janet Evanovich,eng
Love Overboard,Janet Evanovich,eng
Back to the Bedroom (Elsie Hawkins #1),Janet Evanovich,eng
More Plums in One (Stephanie Plum  #4-6),Janet Evanovich,en-US
Full Blast (Full #4),Janet Evanovich/Charlotte Hughes,eng
Metro Girl (Alex Barnaby  #1),Janet Evanovich,eng
To the Nines (Stephanie Plum  #9),Janet Evanovich,eng
Full Speed (Full  #3),Janet Evanovich/Charlotte Hughes,eng
Love Overboard,Janet Evanovich/C.J. Critt,eng
The Rocky Road to Romance (Elsie Hawkins  #4),Janet Evanovich/C.J. Critt,eng
Two for the Dough (Stephanie Plum  #2),Janet Evanovich,en-US
The Full Box (Full  #1-4),Janet Evanovich/Charlotte Hughes,eng
Hard Eight (Stephanie Plum  #8),Janet Evanovich,eng
Hot Six (Stephanie Plum  #6),Janet Evanovich,eng
Metro Girl (Alex Barnaby  #1),Janet Evanovich/C.J. Critt,eng
Martian Time-Slip,Philip K. Dick,eng
The Martians (Mars Trilogy  #3.5),Kim Stanley Robinson,eng
Pirates of Venus (Venus  #1),Edgar Rice Burroughs/Thomas Floyd/F. Paul Wilson/Phillip R. Burger,eng
Swords of Mars (Barsoom  #8),Edgar Rice Burroughs,eng
The Chessmen of Mars (Barsoom #5),Edgar Rice Burroughs/John Bolen,eng
The Warlord of Mars (Barsoom  #3),Edgar Rice Burroughs/John Bolen,eng
Synthetic Men of Mars (Barsoom  #9),Edgar Rice Burroughs,eng
The Master Mind of Mars (Barsoom #6),Edgar Rice Burroughs,eng
A Fighting Man of Mars (Barsoom  #7),Edgar Rice Burroughs,eng
Thuvia  Maid of Mars (Barsoom  #4),Edgar Rice Burroughs,eng
John Carter of Mars (Barsoom #11),Edgar Rice Burroughs,eng
A Princess of Mars (Barsoom  #1),Edgar Rice Burroughs/John Seelye,eng
Escape on Venus (Venus  #4),Edgar Rice Burroughs,eng
Tarzan of the Apes: Tarzan of the Apes/The Son of Tarzan/Tarzan at the Earth's Core/Tarzan Triumphant,Edgar Rice Burroughs/Esteban Maroto/J. Allen St. John/Studley Burroughs,eng
Tarzan of the Apes (Tarzan  #1),Edgar Rice Burroughs,eng
The Five People You Meet in Heaven,Mitch Albom,eng
Murder in the Bastille (Aimee Leduc Investigations  #4),Cara Black,en-US
The Thirteenth Tale,Diane Setterfield,eng
Market Forces,Richard K. Morgan,eng
Black Widow: The Things They Say About Her,Richard K. Morgan/Bill Sienkiewicz/Sean Phillips,eng
Black Widow: Homecoming,Richard K. Morgan/Bill Sienkiewicz/Goran Parlov,eng
Ragtime,E.L. Doctorow,eng
Ragtime in Simla (Joe Sandilands  #2),Barbara Cleverly,en-US
Thank You for Smoking,Christopher Buckley,eng
The Crossing,Cormac McCarthy,eng
Cities of the Plain (The Border Trilogy  #3),Cormac McCarthy,eng
The Agony and the Ecstasy: A Biographical Novel of Michelangelo,Irving Stone,en-US
The Agony and the Ecstasy,Irving Stone,eng
Harvest,Tess Gerritsen,eng
Story of O (Story of O #1),Pauline Réage/Sabine d'Estree,eng
Story of O,Pauline Réage/John Paul Hand,eng
The O. Henry Prize Stories 2003,Laura Furman/David Guterson/Diane Johnson/Jennifer Egan,eng
The Illustrated Story Of O,Doris Kloster/Pauline Réage,eng
The Valley of Vision: A Collection of Puritan Prayers and Devotions,Arthur Bennett,eng
Valley Of Silence (Circle Trilogy  #3),Nora Roberts,eng
Revolution in The Valley: The Insanely Great Story of How the Mac Was Made,Andy Hertzfeld/Steve Wozniak,en-US
The Valley of Horses (Earth's Children  #2),Jean M. Auel,en-US
How Green Was My Valley,Richard Llewellyn,eng
Once A Warrior King: Memories of an Officer in Vietnam,David Donovan,en-US
Once a Warrior (Warriors  #1),Karyn Monk,eng
Time and Again (Time  #1),Jack Finney,eng
Time and Again (Time Travel #1-2),Nora Roberts,eng
Time and Again: Time Was / Times Change,Nora Roberts,eng
Meeting Jesus Again for the First Time: The Historical Jesus and the Heart of Contemporary Faith,Marcus J. Borg,en-US
Reading the Bible Again for the First Time: Taking the Bible Seriously but Not Literally,Marcus J. Borg,en-US
The Complete Idiot's Guide to Business Plans,Gwen Moran,eng
PHP and MySQL Web Development (Developer's Library),Luke Welling/Laura Thomson,en-US
Beginning PHP and MySQL 5: From Novice to Professional,W. Jason Gilmore,en-US
PHP & MySQL For Dummies,Janet Valade,eng
PHP and MySQL for Dummies,Janet Valade,en-US
Graphic Design Now,Charlotte Fiell/Peter Fiell,eng
Michael Moore's Fahrenheit 9/11: How One Film Divided a Nation,Robert Brent Toplin,eng
My Dirty Thirties: Romantic Hedonism,Kelly  Carr,eng
The Life and Opinions of Tristram Shandy  Gentleman,Laurence Sterne/Robert Folkenflik,eng
La fortaleza digital,Dan Brown/Eduardo García Murillo,spa
The United States of Europe: The New Superpower and the End of American Supremacy,T.R. Reid,en-US
Europe on a Shoestring,Sarah Johnstone/Aaron Anderson/Sarah  Andrews/Lonely Planet,eng
Europe and the People Without History,Eric R. Wolf,eng
A History of Modern Europe  Volume 2: From the French Revolution to the Present,John M. Merriman,en-US
How Europe Underdeveloped Africa,Walter Rodney/Vincent Harding,eng
Europe: A History,Norman Davies,eng
The Basketball Diaries,Jim Carroll,eng
The Basketball Diaries and the Book of Nods,Jim Carroll,eng
The 10 Commandments of Parenting: The Do's and Don'ts for Raising Great Kids,Ed  Young,eng
Unsung Heroes Of Rock 'n' Roll: The Birth Of Rock In The Wild Years Before Elvis,Nick Tosches,eng
In the Hand of Dante,Nick Tosches,en-US
Ray Bradbury's Fahrenheit 451,Harold Bloom,eng
Schott's Original Miscellany,Ben Schott/Collin Deckerman,eng
Mind Over Money: How to Match Your Emotional Style to a Winning Financial Strategy,John W. Schott/Jean S. Arbeiter,en-US
Blowback (Scot Harvath  #4),Brad Thor,eng
The Sorrows of Empire: Militarism  Secrecy  and the End of the Republic,Chalmers Johnson/Shara Kay,en-US
Bouvard and Pecuchet,Gustave Flaubert/Αχιλλέας Κυριακίδης/Mark Polizzotti/Raymond Queneau,eng
Voyage of the Turtle: In Pursuit of the Earth's Last Dinosaur,Carl Safina,eng
Thirteen Moons on Turtle's Back,Joseph Bruchac/Jonathan London/Thomas Locker,en-US
One Tiny Turtle,Nicola Davies/Jane Chapman,eng
Turtle Island,Gary Snyder/Michael Corr,eng
Turtles  Termites  and Traffic Jams: Explorations in Massively Parallel Microworlds,Mitchel Resnick,eng
Turtle Moon,Alice Hoffman,eng
Aquatic Turtles: Sliders  Cooters  Painted  and Map Turtles,Richard D. Bartlett/Patricia P. Bartlett,eng
Turtles & Tortoises for Dummies,Liz Palika,eng
The Turtle and the Monkey,Paul Galdone/Joanna Galdone,eng
Turtle Diary,Russell Hoban,eng
Lessons from Turtle Island: Native Curriculum in Early Childhood Classrooms,Guy W. Jones/Sally Moomaw,eng
Inside Himalaya,Basil Pao/Michael Palin,en-GB
Youth in Revolt: The Journals of Nick Twisp : Volumes I  II  III/Youth in Revolt/Youth in Bondage/Youth in Exile,C.D. Payne,eng
The Demon Princes  Volume One: The Star King  The Killing Machine  The Palace of Love,Jack Vance,eng
Lurulu,Jack Vance,en-US
Lyonesse: Suldrun's Garden (Lyonesse  #1),Jack Vance,eng
Jack Vance: Critical Appreciations and a Bibliography,A.E. Cunningham/Harlan Ellison/Charles F. Miller/Terry Dowling/Paul Rhoads/Jack Vance/Tom Shippey/Gene Wolfe/David Langford/Dan Simmons/David Mathew,eng
Galactic Effectuator,Jack Vance,eng
The SFWA Grand Masters 3,Frederik Pohl/Lester del Rey/Damon Knight/A.E. van Vogt/Jack Vance,eng
The Languages of Pao,Jack Vance,en-GB
The Last Castle,Jack Vance,eng
Madouc (Lyonesse  #3),Jack Vance,eng
Ports of Call,Jack Vance,eng
The Demon Princes  Volume Two: The Face  The Book of Dreams,Jack Vance,eng
The Green Pearl (Lyonesse  #2),Jack Vance,eng
The Last Castle/Nightwings (Tor Double Novel #15),Jack Vance/Robert Silverberg,eng
The Many Worlds of Magnus Ridolph,Jack Vance,eng
Big Dead Place: Inside the Strange and Menacing World of Antarctica,Nicholas Johnson/Eirik Sonneland,eng
Best Science Fiction Stories of Clifford D. Simak,Clifford D. Simak,eng
Theodore Rex,Edmund Morris,eng
Oedipus Tyrannus,Sophocles/Theodore F. Brunner/Luci Berkowitz,eng
The Rise of Theodore Roosevelt,Edmund Morris,eng
The Scientists: A History of Science Told Through the Lives of Its Greatest Inventors,John Gribbin,eng
A History of the Life Sciences,Lois N. Magner/Magner,en-US
The Art of Innovation: Lessons in Creativity from IDEO  America's Leading Design Firm,Tom Kelley/Jonathan Littman/Tom Peters,eng
Absolute Trust in the Goodness of the Earth: New Poems,Alice Walker,en-US
I Sold My Soul on Ebay: Viewing Faith Through an Atheist's Eyes,Hemant Mehta/Rob Bell,en-US
Shadow & Claw (The Book of the New Sun #1-2),Gene Wolfe,eng
Sword & Citadel (The Book of the New Sun #3-4),Gene Wolfe,eng
The Wizard (The Wizard Knight #2),Gene Wolfe,eng
Soldier of Sidon (Latro #3),Gene Wolfe,eng
The Right Stuff,Tom Wolfe,eng
Wild Fire (The Hot Zone  #3),Debra Cowan,eng
The Best American Mystery Stories 2004,Nelson DeMille/Otto Penzler,eng
Day and Night,Better Homes and Gardens,eng
Romanticism,Hugh Honour,eng
No Cherubs for Melanie,James  Hawkins,eng
The Fish Kisser,James  Hawkins,eng
Street of the Five Moons (Vicky Bliss  #2),Elizabeth Peters,eng
Stand on Zanzibar,John Brunner,eng
The Shockwave Rider,John Brunner,eng
Study Guide to Accompany Brunner and Suddarth's Textbook of Medical-Surgical Nursing,Suzanne C. O'Connell Smeltzer/Brenda G. Bare/Mary Jo Boyer,eng
Natural Theology: Comprising Nature & Grace by Professor Dr Emil Brunner & the Reply No! by Dr Karl Barth,Karl Barth/Emil Brunner/Peter Fraenkel,en-GB
Children of the Thunder / The Tides of Time / The Crucible of Time,John Brunner,eng
The Sheep Look Up,John Brunner/James John Bell/David Brin,eng
Entry to Elsewhen,John Brunner,eng
The Crucible of Time,John Brunner,eng
Polymath (Zarathustra Refugee Planets  #2),John Brunner,en-US
Total Eclipse,John Brunner,eng
Manshape,John Brunner,eng
Modern Classics of Science Fiction,Gardner Dozois/Damon Knight/R.A. Lafferty/Samuel R. Delany/Brian W. Aldiss/Gene Wolfe/Joanna Russ/James Tiptree Jr./Ursula K. Le Guin/Edward Bryant/Howard Waldrop/Jack Dann/L. Sprague de Camp/Lucius Shepard/Pat Cadigan/John Kessel/William Gibson/Connie Willis/Michael Swanwick/Bruce Sterling/Theodore Sturgeon/Richard McKenna/Cordwainer Smith/Jack Vance/Edgar Pangborn/Keith Roberts/Roger Zelazny,eng
The Mammoth Book of Golden Age Science Fiction: Ten Classic Stories from the Birth of Modern Science Fiction Writing,Isaac Asimov/Charles G. Waugh,en-US
Unearthly Neighbors,Chad Oliver,eng
The Shores of Another Sea (Classics of Modern Science Fiction 3),Chad Oliver/George Zebrowski/Isaac Asimov,eng
Men  Martians and Machines,Eric Frank Russell/George Zebrowski/Isaac Asimov,eng
What are the Seven Wonders of the World?: And 100 Other Great Cultural Lists—Fully Explicated,Peter D'Epiro/Mary Desmond Pinkowish,eng
World of Wonders (The Deptford Trilogy  #3),Robertson Davies/Wayne Johnston,eng
Wonder of the World,David Lindsay-Abaire,eng
Worlds of Wonder: How to Write Science Fiction & Fantasy,David Gerrold,eng
Walking the World in Wonder: A Children's Herbal,Ellen Evert Hopman/Steven Foster,eng
Worlds of Wonder,Terry Pastor/Damon Knight/Philip K. Dick/C.M. Kornbluth/Bob Shaw/Frederik Pohl/Alfred Bester/C.L. Moore/Henry Kuttner/Robert Sheckley/James Blish/Cordwainer Smith/Brian W. Aldiss/Jack Vance,eng
Sixty Days and Counting (Science in the Capital  #3),Kim Stanley Robinson,eng
Fifty Degrees Below (Science in the Capital  #2),Kim Stanley Robinson,eng
The Gold Coast (Three Californias Triptych  #2),Kim Stanley Robinson,eng
Antarctica,Kim Stanley Robinson,eng
The Wild Shore (Three Californias Triptych  #1),Kim Stanley Robinson,eng
Forty Signs of Rain (Science in the Capital #1),Kim Stanley Robinson,en-US
Pacific Edge (Three Californias Triptych  #3),Kim Stanley Robinson,eng
The Memory of Whiteness: A Scientific Romance,Kim Stanley Robinson,en-US
Les Fils des ténèbres,Dan Simmons,fre
Secret Identity (Lost  #2),Catherine Hapka,eng
Miracleman  Book Three: Olympus,Alan Moore/John Totleben/Steve Oliff/Joe Caramagna/Michael Kelleher/Peter Milligan/Mike Allred,eng
A Thousand Acres,Jane Smiley,eng
Mother's Milk,Edward St. Aubyn,en-US
From a Limestone Ledge: Some Essays and Other Ruminations about Country Life in Texas,John Graves/Glenn Wolff/Bill Wittliff,eng
Possession,A.S. Byatt,eng
The Best American Nonrequired Reading 2004,Dave Eggers/Viggo Mortensen,en-US
The Culture of Fear: Why Americans Are Afraid of the Wrong Things,Barry Glassner,en-US
Culture of Fear Revisited,Frank Furedi,eng
GraceLand,Chris Abani,en-US
Raised on Rock: Growing Up at Graceland,David Stanley/Mark Bego,eng
The White Widow,Jim Lehrer,en-US
The Franklin Affair,Jim Lehrer,eng
Short List (One-Eyed Mack  #5),Jim Lehrer,eng
Fine Lines (One-Eyed Mack  #6),Jim Lehrer,eng
Kick the Can (One-Eyed Mack  #1),Jim Lehrer,eng
Strangers from a Different Shore: A History of Asian Americans,Ronald Takaki,en-US
La chute,Albert Camus,fre
Syrup,Max Barry,en-US
Maple Syrup Cookbook: Over 100 Recipes For Breakfast  Lunch & Dinner,Ken Haedrich,eng
The Red Tent,Anita Diamant,en-US
Metaconcert (Intervention  #2),Julian May,eng
Surveillance (Intervention  #1),Julian May,en-US
The Adversary (Saga of Pliocene Exile  #4),Julian May,eng
Magnificat (Galactic Milieu Trilogy  #3),Julian May,en-US
The Sagittarius Whorl (Rampart Worlds #3),Julian May,eng
Maison Ikkoku  Volume 7 (Maison Ikkoku  #7),Rumiko Takahashi,eng
Ranma 1/2  Vol. 8 (Ranma ½ (US 2nd)  #8),Rumiko Takahashi,eng
Maison Ikkoku  Volume 8 (Maison Ikkoku  #8),Rumiko Takahashi,eng
The Echo Maker,Richard Powers,en-US
Afterglow: A Last Conversation With Pauline Kael,Francis Davis/Pauline Kael,eng
For Keeps: 30 Years at the Movies,Pauline Kael,eng
Hooked: Film Writings 1985-1988,Pauline Kael,eng
Flirting With Danger (Samantha Jellicoe  #1),Suzanne Enoch,eng
Flirting with Danger,Linda Turner,eng
Flirting With Danger,Kate Walker,eng
As Nature Made Him: The Boy Who Was Raised as a Girl,John Colapinto,eng
The Serial Killers Club,Jeff Povey,eng
The Savage Wars Of Peace: Soldiers' Voices 1945-1989,Charles Allen,eng
Dark Water (Fog Point  #1),Linda Hall,en-US
The Outlaws of Sherwood,Robin McKinley,eng
Beauty: A Retelling of the Story of Beauty and the Beast,Robin McKinley,eng
Spindle's End,Robin McKinley,eng
Imaginary Lands,Robin McKinley/James P. Blaylock/Patricia A. McKillip/Robert Westall/Peter Dickinson/Jane Yolen/P.C. Hodgell/Michael de Larrabetti/Joan D. Vinge,eng
Beauty,Robin McKinley,eng
The Hero and the Crown (Damar  #2),Robin McKinley,eng
Hitty  Her First Hundred Years,Rachel Field/Dorothy P. Lathrop,eng
Rachel Field's Hitty: Her First Hundred Years,Rosemary Wells/Susan Jeffers/Rachel Field,eng
Voting Rights Days (Hitty's Travels  #3),Ellen Weiss/Betina Ogden,eng
A Christmas Carol (Great Illustrated Classics),Malvina G. Vogel/Charles Dickens,eng
Moon in a Dewdrop: Writings of Zen Master Dogen,Dōgen/Kazuaki Tanahashi/Robert Aitken/Reb Anderson/Edward G. Brown/Norman Fischer/Arnold Kotler/Daniel Leighton/Lew Richmond/Katherine Thanas/Brian Unger/Mel Weitsman/Dan Welch/Philip Whalen/David    Schneider,eng
Dewdrops on a Lotus Leaf: Zen Poems of Ryokan,Ryōkan/John   Stevens,eng
A Green Desire,Anton Myrer/Alastair Westgarth,en-US
The Big War,Anton Myrer,en-US
I Heard That Song Before,Mary Higgins Clark,eng
Santa Cruise: A Holiday Mystery at Sea,Mary Higgins Clark/Carol Higgins Clark,eng
No Place Like Home,Mary Higgins Clark,eng
Ghost Ship: A Cape Cod Story,Mary Higgins Clark/Wendell Minor,eng
Deck the Halls,Mary Higgins Clark/Carol Higgins Clark,eng
On the Street Where You Live,Mary Higgins Clark/Karin Dufner,eng
Silent Night: The Remarkable Christmas Truce of 1914,Stanley Weintraub,eng
Nighttime Is My Time,Mary Higgins Clark,eng
Watchfiends and Rack Screams: Works from the Final Period,Antonin Artaud/Bernard Bador/Clayton Eshleman,eng
Inside My Heart: Choosing to Live with Passion and Purpose,Robin McGraw,eng
Lord John and the Brotherhood of the Blade  (Lord John Grey  #2),Diana Gabaldon,eng
How to Stop Worrying and Start Living,Dale Carnegie,eng
Andrew Carnegie and the Rise of Big Business (Library of American Biography Series),Harold C. Livesay,eng
How to Develop Self-Confidence and Influence People by Public Speaking,Dale Carnegie,eng
The Autobiography of Andrew Carnegie and the Gospel of Wealth,Andrew Carnegie/Gordon Hutner,eng
Love in the Time of Cholera,Gabriel García Márquez/Edith Grossman,eng
A Fan's Notes,Frederick Exley/Jonathan Yardley,eng
My Soul to Keep (African Immortals  #1),Tananarive Due,eng
Joplin's Ghost,Tananarive Due,eng
The Living Blood (African Immortals  #2),Tananarive Due,en-US
The Good House,Tananarive Due,eng
The Prestige,Christopher Priest,eng
The Mammoth Book of Storms  Shipwrecks and Sea Disasters,Richard Russell Lawrence,eng
The Stones of Summer,Dow Mossman,eng
The Summer House,Jean Stone,eng
Peek-a-Boo! (Babyfaces),Roberta Grobel Intrater,eng
The Handmaid's Tale,Margaret Atwood,eng
The BFG: A Set of Plays,Roald Dahl/David Wood,eng
Science Notebooks: Writing about Inquiry,Lori Fulton/Brian Campbell/Linda Gregg,eng
Interviews with John Kenneth Galbraith (Conversations with Public Intellectuals),John Kenneth Galbraith/James Ronald Stanfield/J. Ron Stanfield/Jacqueline Bloom Stanfield,eng
The Economics of Innocent Fraud: Truth for Our Time,John Kenneth Galbraith,en-US
Robin Williams Web Design Workshop,Robin P. Williams/John Tollett/Dave Rohr,eng
The Non-Designer's Web Book,Robin P. Williams/John Tollett,en-US
Hard Drive: Bill Gates and the Making of the Microsoft Empire,James Wallace/Jim  Erickson,en-US
Bill Gates: Computer Legend (Famous Lives),Sara Barton-Wood,eng
Chicken Trek,Stephen Manes,eng
Make Four Million Dollars by Next Thursday!,Stephen Manes/George Ulrich,eng
Slim Down Camp,Stephen Manes,eng
The Boy Who Turned Into a TV Set,Stephen Manes/Michael  Bass,eng
Masters of Enterprise: Giants of American Business from John Jacob Astor and J.P. Morgan to Bill Gates and Oprah Winfrey,H.W. Brands,eng
The Devil in the Junior League,Linda Francis Lee,eng
Prom Anonymous,Blake Nelson,eng
The New Rules of High School,Blake Nelson,en-US
Cool Girl,Blake Nelson/Hans Schumacher,ger
They Came from Below,Blake Nelson,eng
User,Blake Nelson,eng
Exile,Blake Nelson/Francine Kass,en-US
Girl (Girl  #1),Blake Nelson,en-US
My Side of the Mountain (Mountain  #1),Jean Craighead George,eng
The Theban Plays: Oedipus Rex  Oedipus at Colonus & Antigone,Sophocles/George      Young,eng
The Jungle,Upton Sinclair/Earl Lee/Kathleen DeGrave,eng
The Jungle Books,Rudyard Kipling/Alev Lytle Croutier,eng
Human Croquet,Kate Atkinson,eng
The Key to Rebecca,Ken Follett/Arto Häilä,eng
Paper Money,Ken Follett,eng
Skeleton Coast (Oregon Files  #4),Clive Cussler/Jack Du Brul,eng
Dragon (Dirk Pitt  #10),Clive Cussler,en-US
Dark Watch (Oregon Files  #3),Clive Cussler/Jack Du Brul,eng
Black Wind (Dirk Pitt  #18),Clive Cussler/Dirk Cussler,eng
Cyclops (Dirk Pitt  #8),Clive Cussler,eng
Deep Six (Dirk Pitt  #7),Clive Cussler,en-US
Polar Shift (NUMA Files  #6),Clive Cussler/Paul Kemprecos,eng
Vixen 03 (Dirk Pitt  #5),Clive Cussler,eng
The Mediterranean Caper (Dirk Pitt  #2),Clive Cussler,eng
The Navigator (NUMA Files  #7),Clive Cussler/Paul Kemprecos,en-US
Golden Buddha (Oregon Files  #1),Clive Cussler/Craig Dirgo,eng
Shock Wave (Dirk Pitt  #13),Clive Cussler,eng
Raise the Titanic! (Dirk Pitt  #4),Clive Cussler,eng
Atlantis Found (Dirk Pitt  #15),Clive Cussler,eng
Muerte Blanca,Clive Cussler/Paul Kemprecos,spa
Iceberg (Dirk Pitt  #3),Clive Cussler,eng
Fire Ice (NUMA Files  #3),Clive Cussler/Paul Kemprecos,en-US
Lost City (NUMA Files  #5),Clive Cussler/Paul Kemprecos,en-US
The Sea Hunters II (The Sea Hunters  #2),Clive Cussler/Craig Dirgo,en-US
The Sea Hunters (The Sea Hunters #1),Clive Cussler/Craig Dirgo,en-US
La Ciudad Perdida (NUMA Files  #5),Clive Cussler/Paul Kemprecos,spa
Sahara (Dirk Pitt  #11),Clive Cussler,spa
Clive Cussler and Dirk Pitt Revealed,Clive Cussler/Craig Dirgo,eng
Cliffs Notes on Billy Budd & Typee,Mary Ellen Snodgrass,eng
Billy Budd  Sailor,Herman Melville,eng
Billy Budd  Sailor,Herman Melville,eng
Billy Budd  Sailor and Other Uncompleted Writings: The Writings of Herman Melville  Volume 13,Herman Melville/Hershel Parker/G. Thomas Tanselle/Harrison Hayford/Robert Sandberg/Alma MacDougall Reising,eng
Billy Budd  marin,Herman Melville,fre
The Elections of 2004,Michael Nelson,eng
Love Sick: A Smoldering Look at Love  Lust  and Marriage,Michael J. Nelson/Charles S. Anderson Design Company/Pop Ink,eng
Goth-Icky: A Macabre Menagerie of Morbid Monstrosities,Michael J. Nelson/Charles S. Anderson Design Company/Pop Ink,eng
Fluffy Humpy Poopy Puppy: A Ruff  Dog-Eared Look at Man's Best Friend,Michael J. Nelson/Pop Ink/Charles S. Anderson Design Company,eng
Mike Nelson's Death Rat!,Michael J. Nelson,eng
Joel on Software,Joel Spolsky,eng
Hackers & Painters: Big Ideas from the Computer Age,Paul Graham/Allen Noren/Matt Hutchinson,eng
I  Robot (Robot  #0.1),Isaac Asimov,eng
I  Robot: The Illustrated Screenplay,Harlan Ellison,eng
The Robots of Dawn (Robot #3),Isaac Asimov,eng
I. Asimov,Isaac Asimov,eng
Asimov's New Guide to Science,Isaac Asimov,eng
Pebble in the Sky (Galactic Empire #3),Isaac Asimov,eng
The Gods Themselves,Isaac Asimov,eng
The Stars  Like Dust (Galactic Empire  #1),Isaac Asimov,eng
The Currents of Space (Galactic Empire  #2),Isaac Asimov,eng
Gold: The Final Science Fiction Collection,Isaac Asimov/Orson Scott Card,eng
Asimov's Guide to the Bible: The Old Testament,Isaac Asimov,eng
100 Great Fantasy Short Short Stories,Isaac Asimov/Terry Carr/Martin H. Greenberg/Janet  Fox,eng
Rock Star Superstar,Blake Nelson,en-US
Writings and Selected Narratives of the Exploration and Settlement of Virginia,John  Smith,en-US
John  Paul  George & Ben,Lane Smith,eng
Evolution and the Theory of Games,John Maynard Smith,eng
The Origins of Life: From the Birth of Life to the Origin of Language,John Maynard Smith/Eörs Szathmáry,eng
American Genesis: Captain John Smith and the Founding of Virginia,Alden T. Vaughan,eng
Twilight (Twilight  #1),Stephenie Meyer,eng
Sense and Sensibility,Jane Austen,eng
Uncle Shelby's ABZ Book,Shel Silverstein,eng
Who Wants a Cheap Rhinoceros?,Shel Silverstein,eng
Fantastic Beasts and Where to Find Them (Hogwarts Library),Newt Scamander/J.K. Rowling,eng
J.K. Rowling - A Biography,Sean Smith,eng
Das Zauberer-Handbuch - Die Magische Welt der Joanne K. Rowling von A bis Z,Allan Zola Kronzek,ger
Harry Potter und die Kammer des Schreckens (Harry Potter  #2),J.K. Rowling,ger
Harry Potter und der Gefangene von Askaban (Harry Potter  #3),J.K. Rowling/Rufus Beck,ger
Harry Potter ve Sırlar Odası (Harry Potter  #2),J.K. Rowling/Sevin Okyay,tur
Harry Potter und der Gefangene von Askaban (Harry Potter  #3),J.K. Rowling,ger
There are No Children Here: The Story of Two Boys Growing Up in the Other America,Alex Kotlowitz,eng
Infants  Children  and Adolescents (MyDevelopmentLab Series),Laura E. Berk,en-US
Spring Music,Elvi Rhodes,eng
Scarlet Feather,Maeve Binchy,eng
The Lilac Bus,Maeve Binchy,eng
Light a Penny Candle,Maeve Binchy,eng
Evening Class,Maeve Binchy,en-GB
Circle of Friends,Maeve Binchy/René Huigen/Frans Thomése,eng
Nos rêves de Castelbay,Maeve Binchy,fre
Les Saveurs de la vie,Maeve Binchy,fre
Kiss,Jill Mansell,eng
Solo,Jill Mansell,eng
Two's Company,Jill Mansell,eng
Open House,Jill Mansell,en-US
The Dream Kingdom (The Morland Dynasty  #26),Cynthia Harrod-Eagles,eng
Falling for You,Jill Mansell,eng
